Traffic source,Source type,Source title,Impressions,Impressions click-through rate (%),Views,Average view duration,Watch time (hours)
Total,,,1216,2.55,42,0:06:35,4.6155
YT_RELATED.sk_h03MYtu0,Content,メンタルが強い人の思考習慣【グレーな心理学】,0,,2,0:00:57,0.0317
YT_RELATED.4p7bmYVa1JY,Content,【スカッと】同窓会予約をドタキャンする同級生50人「同級生全員で旅行中wボロ居酒屋はキャンセルw」→「同窓会?なんのこと」予約は入ってなく…【漫画】【アニメ】【スカッとする話】【2ch】,0,,1,0:00:56,0.0158
YT_RELATED.D36KSq03-cs,Content,実力と運の関係性,1,100,1,0:04:03,0.0677
YT_RELATED.JgIBMjqDTpE,Content,『エイペックス・プレデター』！R指定の痛快アクション！アクション女王シャーリーズ・セロン主演！極限状態で最凶の変態を返り討ち！,2,50,1,0:05:21,0.0894
YT_RELATED.NK3w1307Ckk,Content,【スカッと】宿泊費を奢らせようとする同僚「スイートルーム奢りありがとなw」→宿泊はテントなので着信無視したらw【漫画】【アニメ】【スカッとする話】【2ch】,1,0,1,0:14:34,0.243
YT_RELATED.STp4mWOKFus,Content,服好きだけどちゃんと性欲強い男【のぞき見コント】,1,100,1,0:14:34,0.243
YT_RELATED.zZ0ETW5PkHQ,Content,キオクシア大暴落に巻き込まれた投死家の末路がバブリーだった件,0,,1,0:02:56,0.049
YT_RELATED.-UxPKFBJj1U,Content,【心理学】なぜ独りを好むのか？科学が解明した、一人時間にだけ育つ「特別な力」の正体,1,100,1,0:00:20,0.0058
YT_RELATED.Sw77ADAJ14Q,Content,史上初のスポライ開催！？TL80への準備も！火力最強アタッカー爆誕も熱い！9月の情報整理【 ポケモンGO 】【 GOバトルリーグ 】【 GBL 】,0,,1,0:01:27,0.0242
YT_RELATED.g_shhN28uTI,Content,【人生初の温泉】「日本で死んでもいい…」初来日の韓国人が砂むし温泉に衝撃！まさかの体験に大感激！,0,,1,0:03:32,0.0589
YT_RELATED.sAC7gJkQUJQ,Content,"妻の不倫を""愛の多様化""と言い張る相手…反省しない2人に夫が突きつけた",1,100,1,0:01:02,0.0173
YT_RELATED.xD50gEib3ao,Content,生きるために食べる！あの最高のSFメシ達を紹介！【ゆっくり解説】,0,,1,0:09:58,0.1663
YT_RELATED.sbGpg9r_TU8,Content,秦基博の声になったジャイアン,0,,1,0:07:47,0.13
YT_RELATED.wzfUrRdr5oc,Content,爆速で筋肉を成長させるモテ男がやってる３つの秘密,0,,1,0:14:34,0.243
YT_RELATED.VolpY3RqNI0,Content,【漫画】一瞬で縁が切れる！どれだけ親しくても絶対に言ってはいけないこと7選,0,,1,0:00:34,0.0097
YT_RELATED.Y0OQJp9Wv_Y,Content,【話題書】「ストーリー思考」を世界一わかりやすく要約してみた【本要約】,0,,1,0:00:15,0.0044
YT_RELATED.2CDq8uSpass,Content,幸せになるたった一つの習慣｜しあわせ心理学,0,,1,0:14:34,0.243
YT_RELATED.G1RzjMIwpr0,Content,【癒し系ピノ】こんなにかわいい猫パンチみたことある？,0,,1,0:02:58,0.0497
