Traffic source,Source type,Source title,Thumbnail impressions,Thumbnail click-through rate (%),Views,Average view duration,Watch time (hours)
Total,,,3490,3.67,156,0:06:48,17.594
YT_RELATED.VzFYhsv9r60,Content,【心理学と脳科学】レジで「お願いします」と言う人は,95,3.16,4,0:04:26,0.2956
YT_RELATED.kHRjJ1UN0tM,Content,決断できない人が見落としている「何もしないコスト」｜不作為・機会費用・現状維持から考える意思決定の心理学,81,3.7,5,0:05:13,0.4351
YT_RELATED.YPGpK9LfUi4,Content,いつも自分を後回しにしてる人へ｜自分を満たすと人生が変わり始める5つの理由【心理学】,58,5.17,3,0:06:50,0.3423
YT_RELATED.lOXKVk6woRw,Content,【全部後から】氷河期世代が赦してないこと9選,55,3.64,2,0:05:45,0.1918
YT_RELATED.2SuEmbhHeZM,Content,【雑学】誰かに話したくなる9割の人が知らない健康や恋愛雑学を中心に面白い雑学を紹介【総集編、BGM、聞き流し】,48,0,1,0:00:19,0.0053
YT_RELATED.l_ZN4XJAMWQ,Content,【雑学】誰かに話したくなる9割の人が知らない健康や恋愛雑学を中心に面白い雑学を紹介【BGM、聞き流し】,47,2.13,1,0:08:37,0.1438
YT_RELATED.rWiEte5r8Vg,Content,【心理学と脳科学】休日どこにも出かけない人は,42,4.76,2,0:00:03,0.0018
YT_RELATED.Kj52gAyl8ko,Content,【雑学】実は1960年代生まれの異常な特徴５つ,36,2.78,1,0:00:45,0.0127
YT_RELATED.KprZj0lNbFs,Content,努力が止まらなくなる条件｜行動を加速させる動機と環境の関係,35,5.71,2,0:08:11,0.2731
YT_RELATED.KE20DeBnGuQ,Content,【本当の知性】IQとEQが極めて高い人だけが持つ「異次元の思考」5つの特徴,35,11.43,4,0:03:54,0.2607
YT_RELATED.hLXQtPY6fW0,Content,【心理学と脳科学】人に執着しない人は,34,0,,,
YT_RELATED.uoIaCwAHoS8,Content,【心理学】１人でキャンプできる人に共通する意外すぎる3つの特徴｜孤独が至福の自由時間に変わる理由,32,12.5,4,0:10:51,0.7239
YT_RELATED.-Qaw9dbFgZ0,Content,カール・ユングによれば、最も希少な性格タイプは、通常、人生の後半になって成功を収めるという。,30,0,,,
YT_RELATED.lGhsr0zGZG8,Content,優しい人にしかできないさりげない行動9選【雑学】,28,10.71,3,0:01:46,0.0889
YT_RELATED.lb840-X5sSw,Content,たった3日で脳の処理速度が40倍になる勉強法【科学的に証明】,27,3.7,1,0:00:20,0.0056
YT_RELATED.gvyfPUR1R8k,Content,実はマジで超幸福な人７選〜早く気づけば人生が楽になる〜,25,4,2,0:00:26,0.0145
YT_RELATED.MvdL5T1hfz0,Content,【雑学】衝撃！IQが高い人に見られる異常なクセ10選,24,8.33,2,0:08:57,0.2984
YT_RELATED.3-i8HFXfhtE,Content,【もう期待しない】人に執着しない人が手放したもの #心理学 #自己理解,24,4.17,1,0:17:07,0.2855
YT_RELATED.00sNs4gltb4,Content,【雑学】実は1970年代生まれの異常な特徴５つ,24,0,,,
YT_RELATED.t1TQ7HCyPTE,Content,「何もしたくない」は正しい。何もしたくないと感じる人の脳で、静かに起きていること【脳科学・心理学】,23,4.35,1,0:17:07,0.2855
YT_RELATED.5PBQYZ4jYIM,Content,本当に優しい人が見ている他人を観察する場所9選【雑学】,22,4.55,1,0:13:50,0.2307
YT_RELATED.qT5_tgCaofs,Content,期待に応え続けると自分を失い、全体主義に加担するかも｜社会に飲み込まれないための、期待を裏切る勇気,22,4.55,1,0:17:07,0.2855
YT_RELATED.biLDA2B_B1k,Content,面白すぎる人間雑学「総まとめ」【有益】#雑学#豆知識 #日常,21,9.52,2,0:05:00,0.1667
YT_RELATED.use1L23mb3c,Content,【雑学】楽器を演奏するのが好きな人の特徴,20,0,,,
YT_RELATED.9jZyTmdyTL8,Content,【50代】なぜか美人扱いされる人の共通点/顔立ち以上に大切なもの/脳と肌の関係,20,0,1,0:01:22,0.023
YT_RELATED.VFBxAZ6SPCs,Content,［実体験］”たった1ヶ月で”私の人生が激変した15の習慣をシェア🔑✨,19,0,2,0:00:01,0.0008
YT_RELATED.A4hCbOAR1H0,Content,実はあなた、かなり好かれています｜無意識に現れる5つのサイン【ユング心理学】,19,0,,,
YT_RELATED.uT09dPQpgsk,Content,継続の価値は上がり、才能の価値は下がっている｜テクノロジーと認知が変える「成功の構造」,17,11.76,2,0:09:35,0.32
YT_RELATED.Fv4nxUsRBUg,Content,知っていたなら得する恋愛雑学,17,5.88,1,0:00:26,0.0073
YT_RELATED.lvH_o-7zqQk,Content,【ベテランが消えた】誰も機械を直せない　氷河期世代の本音20選,16,0,,,
YT_RELATED.dtMGDnZTdaE,Content,物欲が止まらない人へ。我慢ゼロで物欲を抑える方法を脳科学が見つけました【脳科学】,16,6.25,1,0:09:58,0.1663
YT_RELATED.zjyWkBokAsE,Content,『やらなかった後悔』が一生消えない本当の理由【心理学】/明日の幸せを科学する/ダニエル ギルバート,15,0,,,
YT_RELATED.S0Qwfd6YHNs,Content,75歳を超えると体は4倍の速さで急激に壊れていく！この事実を知らない人だけが後悔する老後の生き方,15,0,,,
YT_RELATED.RsqD5jF_L6o,Content,【心理学】服の断捨離が進んだ人には共通する「特別な思考力」があった,14,7.14,1,0:03:00,0.05
YT_RELATED.edcAM6_LoJY,Content,実は「嫉妬している人」があなたにだけ見せる反応【雑学・心理学】,14,7.14,1,0:00:06,0.0017
YT_RELATED.Es2q8m7egpY,Content,面白すぎる人間雑学「総まとめ」【有益】#雑学#豆知識 #日常,13,15.38,2,0:07:42,0.257
YT_RELATED.taenAvJzzFk,Content,【心理学と脳科学】複数人だと黙る人は,13,0,,,
YT_RELATED.d2-lgQmrCNQ,Content,【聞き流し】体脂肪率30%超えの女性はコレをやめないと永久に痩せません【知って得する健康雑学】【ダイエット】【総集編】【作業用】,13,7.69,1,0:05:38,0.0939
YT_RELATED.giITggrlKKo,Content,【閲覧注意】優しい人が恐ろしいほど「人間の本質」を見抜いている理由は【雑学】,12,0,,,
YT_RELATED.Hbo7y2jSwRc,Content,【本物の知性】IQが高い人ほど、自分が「分かった」と感じた瞬間を疑う理由【心理学】,12,8.33,1,0:07:08,0.119
YT_RELATED.pGr9pPOQxFg,Content,【雑学】実は1960年代生まれに共通する「5つの力」! あなたも当てはまっていませんか？,12,0,,,
YT_RELATED.CTxBy54MHlY,Content,【1日で激変】執着を手放す「神ルーティン」の正体【心理学×脳科学】【雑学】,12,0,,,
YT_RELATED.7wZbFWoRk7Q,Content,【雑学】９割の人が知らない心理の雑学【いつか役に立つ】,12,0,,,
YT_RELATED.8FrUE4jT-Ug,Content,避難所で、最初の三日に起きること。行ってから知るのでは、遅すぎます,12,0,,,
YT_RELATED.7vtY6b_nC8s,Content,聞き流すだけで9割が気づけば眠ってる癒し雑学【総集編/睡眠用】 #雑学,12,8.33,4,0:08:34,0.5722
YT_RELATED.KkK9Wb_aAug,Content,🌈すご過ぎる！アドラー心理学「課題の分離」,11,0,,,
YT_RELATED.ex-GIQSFBhU,Content,【聞き流し・睡眠用】科学的根拠でモチベ爆上げ！筋トレ雑学24連発,11,9.09,1,0:00:46,0.013
YT_RELATED.fGvTFMY3qes,Content,60代で行動しないと70代で「後悔のどん底」へ。人生の黄金期をドブに捨てる人のヤバい特徴3選,10,10,1,0:08:29,0.1415
YT_RELATED.VMEiB5GSO7k,Content,実はもう心が限界…今すぐ休んだ方がいいサイン10選【心理学】,10,20,2,0:07:15,0.2421
YT_RELATED.9t2WPHTS2rA,Content,【雑学】IQが高い人に共通する異常なクセ,10,10,1,0:08:33,0.1427
YT_RELATED.34Jhv87t8qc,Content,優秀な人材から辞めていく会社には、共通の「見抜けない仕組み」がある【雑学】,10,0,,,
YT_RELATED.GcbZrzWsBF4,Content,【あの人が、急に態度を変えた】軽く扱われていた人が、丁寧に扱われ始めた理由7選【人間関係】,10,0,,,
YT_RELATED.Ac3h5834lj4,Content,【ドジャース 3点差を跳ね返す逆転劇で5連勝を飾る！守護神スコットは19セーブ目】パイレーツvsドジャース MLB2026シーズン 8.23,10,0,,,
YT_RELATED.5XYURQLkYrY,Content,家の掃除を最優先にする人々の脳,10,10,1,0:02:05,0.035
YT_RELATED.oKOcpqANPp0,Content,辛い苦労を乗り越えてきた人だけに現れる特徴9選【雑学】,10,10,1,0:17:07,0.2855
