Traffic source,Source type,Source title,Thumbnail impressions,Thumbnail click-through rate (%),Views,Average view duration,Watch time (hours)
Total,,,1563,2.69,55,0:06:13,5.4012
YT_RELATED.PDbhIRR9kwg,Content,【祟りか?】『平将門の首塚』に抱きつく迷惑配信者→その2日後とんでもない事に【ゆっくり解説】,19,0,,,
YT_RELATED.GJjYlTjNV8g,Content,【心理学】1人の時間を好む人ほど「メンタルが強い」驚きの理由。脳科学が明かした静かな力の正体。,17,11.76,2,0:14:34,0.486
YT_RELATED.3JS5WCOp5G4,Content,【海外の反応】日本のオタククリエイターが海外に行かない理由が海外でミームしてたｗ,9,0,,,
YT_RELATED.VolpY3RqNI0,Content,【漫画】一瞬で縁が切れる！どれだけ親しくても絶対に言ってはいけないこと7選,9,11.11,1,0:00:34,0.0097
YT_RELATED.lqmFj3Yw394,Content,【完全版】8年尽くし、彼の会社も心も支えた。婚約当日、私が「愛人」だったと知った。#短劇 #切ない #裏切り #不倫 #浮気 #婚約 #愛人 #ざまぁ #復讐 #中華ドラマ #260614cfB2,8,0,,,
YT_RELATED.q9ZqdX-rKO8,Content,新婚初夜、初めて夫と同じベッドに入ろうとしたとき、彼の背中一面に初恋の女性の名前が刻まれているのを見つけた。気持ちは一気に冷めた。「私と彼女、どちらを選ぶの？」と聞くと、彼はその場で激怒した,7,0,,,
YT_RELATED.sVy8w_PSsyw,Content,她因一場誤會親手推開深愛的男友！六年之後相親桌上兩人猝然相遇，昔日戀人搖身變成集團老闆，表面冷漠疏離心裡卻從未放下，嘴硬别扭偷偷追妻，解開誤會終於破鏡重圓！,6,16.67,1,0:01:03,0.0177
YT_RELATED.4SprJOnxZ9k,Content,【海外の反応】「日本なんて知らない方がよかった！」20か国以上旅したフランス人女性が初来日！絶品日本食と激安フレンチに感激！帰国後猛烈日本ロスで母絶叫のあり得ない行動にw,6,0,,,
YT_RELATED.1yuN99SyDNk,Content,𝔹𝕃ℂ𝔻 | 恋愛前夜= 小野友树x寺岛拓笃,6,16.67,1,0:02:49,0.0472
YT_RELATED.9pNB13KuOsQ,Content,コメ業者「去年の10倍くらいある」→倉庫いまだにパンパンな模様,6,0,,,
